product_title,source,product_url,product_price,product_photo,product_star_rating,product_num_ratings,asin,position,device_category,price_missing,has_discount
"Dell 15 dc15250 15.6"" Laptop Computer",Dell,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:7239989741764472044,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSjtc6yAZH_6HtvAVAA9UNuN93_Tzw6UF91hg2lk9uBaxLqDNSG6Sgx36ByKZEKan_UbbcSC5aBw3uH94PURMXQOGD6RiqWG1QNcw0hCJ7cix4ETVJdHhd9SA,4.0,183.0,7239989741764472044,38,laptops,True,False
GeekBook M16 Laptop Intel Ultra,geekompc.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:13696032732944368415,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",849.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTlS8lveb-gArrZheQj7Cba4I7YbudcbtDSTjMfLJiNC3uYkjOhuCdkspZhZZcARl-xezaI6JdjhUrYxp0TYYq4hnPoQeaNtkRNqphxvtxXD6GtgSwQ6y_E_A,4.5,139.0,13696032732944368415,39,laptops,False,False
Hp 15.6 inch Win 11 Laptop Intel Processor N200 4GB RAM 128gb UFS,Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:8178283564976582269,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",313.51,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRDsJvflcov2f6Xu_S6_jn37l5vFmjMQHrQQn8jNbW1-Zrn4ZvFmh5YPoBvOmPedKOIAdh7nK07NnpjgCxcx0gHsvyWD6zTBjGZrYbCVSRm58PO0enkZXQvKzM,3.7,370.0,8178283564976582269,40,laptops,False,False
"Lenovo - IdeaPad Slim 3 14"" 2K Touch Chromebook,MediaTek Kompanio 540,4GB RAM,64GB eMMC+160GB Dock,Chrome OS - Cosmic Blue",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,productid:15107307090703907908,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",339.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSr0R7NCbokmyZMEXNGlZ1YJNe-17yi5DZutGg54Qu_e-7A8SsHBf89WuTyW1BeVRwTdBOOF-oebPrs2-wR425bVWje5F6dH1r9YSjQJ2h9,,,15107307090703907908,1,laptops,False,False
IdeaPad Slim 3 Chromebook,BrandsMart USA,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:8370809050086857407,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",229.99,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ41I1E20_Er-ZIqrDDA13VPKNFToeUPrDNyGJQi-vrp6e3O7_rC-s1KDHWBds3r43vkAHB0RXTyklMg0FHF8VABHsyRrqN8DwgYVGijWY,5.0,1.0,8370809050086857407,2,laptops,False,False
GeekBook M16 Laptop Intel Ultra,geekompc.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:7983544864151519147,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",849.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTIunt2oTizj7PI26-MBaDkhjC2nC7O6bkRCEdcBBFJQtwaBh-_Bgu3P0Vppl7VdorqsUy_w0Eto34ihF0D-_VmUzZdXebUHQMK7FZXrPnNIvkemeSsHcay,4.5,139.0,7983544864151519147,3,laptops,False,False
"17.3 inch FHD Gaming Laptop AMD R7 7735hs 64gb Ddr5 RAM 1TB SSD (8-Core, Beats i7-12650H) with Radeon 680m 100w Type-C Wi-Fi 6E Backlit Keyboard",Walmart - UHIPPO Laptops,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:9459135200318888128,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSy6KrlLZ4U352QtnHk7YSa-4kSpB78p0qqPBJUDgjix31aipv-RjeMeo1z1O5ADmcWVh-ASM_99RS58hSV8w_SM-JPzaN_L_aXeTKLKGXCbNApSxmu_pEG,,,9459135200318888128,5,laptops,True,False
MSI Thin A15 B7UC-473US Gaming Laptop,Newegg.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:2024078265595152919,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",899.99,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR05tvyx-pdXlQWaCAXB5g4xm4WOZyFx_EPZQ64PFoGzeumw05s04Q-6Z6bmxT8r64YcxZSUmbH17fGtojfLhQeno6kumrwqXEl9eDt73aAB-5A2HaoxsJfLPg,4.5,6.0,2024078265595152919,6,laptops,False,False
Dell Pro 16 PC16250 Core,Small Dog Electronics,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:11884767840559964803,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",869.99,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQeat0xIlaTFCCYkltoE43ms_cR1qvpoAZE0AyGVi-Z1UAao9ZTTyt8Lw3LIf9G2qbv8IfIbBCtmHP5Nv4EqtCrI8UtmqSjXVqLEkV905Fa,4.4,748.0,11884767840559964803,7,laptops,False,False
Microsoft Surface Laptop for Business,buyitsolutions.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:13877707833401943540,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSlXWfOchO7JAbSnWARli4MUZUYQgA95T0pXQa1SbFNXk3SCFQxHK2dFvqzsBXupfmk-APKy956q4LRSwG8Dhy4qIF_bNLAj2P2XQFC3r2CUyLzrUuEnYOa0g,,,13877707833401943540,9,laptops,True,False
